asset_age_years,past_failures,current_condition_score,last_maintained_days_ago,traffic_load_trains_per_day,asset_type,observed_urgency_score
30.9,2,12.0,398,106,Track (Rail/Ballast),64.25
32.7,4,41.9,557,214,Signal,58.4
15.1,1,96.1,604,62,OHE (Overhead Equipment),32.84
32.3,1,46.4,509,167,OHE (Overhead Equipment),48.26
17.8,1,57.6,516,51,OHE (Overhead Equipment),47.85
27.1,1,89.2,630,57,OHE (Overhead Equipment),35.76
6.8,1,80.2,64,82,Track (Rail/Ballast),8.23
33.3,0,51.0,271,43,Track (Rail/Ballast),41.24
32.0,2,12.0,57,82,Signal,41.99
29.3,2,99.6,252,72,OHE (Overhead Equipment),15.44
14.7,1,11.5,618,86,Signal,58.42
26.0,2,54.4,440,132,S&T (Points/Crossing),46.34
6.7,2,34.9,640,38,Signal,44.51
28.1,2,55.7,141,196,Signal,47.87
1.5,1,85.8,43,67,Track (Rail/Ballast),25.39
14.8,0,29.7,583,181,S&T (Points/Crossing),45.51
18.9,2,85.4,268,105,S&T (Points/Crossing),22.93
22.8,1,77.7,7,27,Signal,28.44
12.2,1,17.7,405,48,OHE (Overhead Equipment),48.37
33.8,5,33.2,204,195,Track (Rail/Ballast),54.97
26.3,1,71.0,191,183,Signal,33.47
20.3,2,69.6,19,95,Signal,27.36
26.5,1,22.0,439,179,Signal,55.96
33.6,0,83.9,535,118,S&T (Points/Crossing),41.15
14.7,2,31.5,281,95,Signal,44.9
20.4,0,60.3,577,104,S&T (Points/Crossing),35.16
34.8,4,10.6,624,187,Track (Rail/Ballast),75.14
23.9,2,68.6,174,95,S&T (Points/Crossing),39.25
6.0,1,54.4,686,135,Signal,45.44
33.8,0,65.5,540,191,S&T (Points/Crossing),58.48
36.1,3,46.7,104,104,Signal,57.36
29.4,4,64.1,370,121,OHE (Overhead Equipment),42.01
2.3,0,39.3,36,20,Signal,31.04
26.6,2,58.7,40,41,Signal,34.47
37.5,2,96.9,82,158,Track (Rail/Ballast),21.47
21.1,4,11.1,385,69,S&T (Points/Crossing),53.1
39.4,5,87.3,726,84,OHE (Overhead Equipment),57.18
38.9,4,49.2,331,218,Signal,53.07
36.2,2,48.5,305,101,Signal,54.47
31.6,2,91.0,726,53,Track (Rail/Ballast),32.74
24.0,1,71.0,25,18,S&T (Points/Crossing),24.36
17.8,2,88.7,18,187,Signal,28.0
7.6,1,51.5,408,203,Track (Rail/Ballast),41.23
2.3,0,43.7,684,105,Signal,38.2
29.7,3,82.8,141,46,Signal,25.03
7.7,1,47.9,638,91,Signal,42.27
5.2,4,99.4,115,69,Track (Rail/Ballast),13.89
25.4,1,15.1,373,69,OHE (Overhead Equipment),61.09
16.3,0,78.5,368,167,S&T (Points/Crossing),24.35
28.3,2,70.6,302,94,OHE (Overhead Equipment),31.13
4.9,3,27.6,18,23,S&T (Points/Crossing),40.48
18.8,3,82.1,367,111,S&T (Points/Crossing),35.45
19.4,3,14.3,247,25,S&T (Points/Crossing),34.79
16.3,2,95.7,354,31,OHE (Overhead Equipment),27.14
37.1,1,76.8,452,177,Track (Rail/Ballast),51.03
12.7,1,21.0,24,218,S&T (Points/Crossing),43.54
26.5,3,96.8,258,188,Signal,34.53
37.4,3,29.1,219,194,OHE (Overhead Equipment),52.77
22.9,0,94.0,356,81,Track (Rail/Ballast),32.47
9.3,1,81.1,649,37,Signal,31.59
9.6,2,39.2,320,58,S&T (Points/Crossing),45.14
37.3,1,54.9,486,51,S&T (Points/Crossing),37.38
23.1,0,53.3,116,214,Track (Rail/Ballast),42.76
18.0,2,91.6,387,211,Signal,41.57
39.5,0,67.1,33,125,OHE (Overhead Equipment),31.28
20.1,1,27.1,132,134,Track (Rail/Ballast),43.98
14.1,3,74.1,366,107,S&T (Points/Crossing),50.95
39.0,1,47.8,552,95,Track (Rail/Ballast),59.64
16.4,2,55.4,201,163,OHE (Overhead Equipment),43.27
9.3,1,55.6,415,216,S&T (Points/Crossing),37.46
33.1,1,14.8,127,29,OHE (Overhead Equipment),45.71
39.8,3,55.3,257,52,Track (Rail/Ballast),42.15
18.7,1,62.0,334,208,S&T (Points/Crossing),42.76
21.0,1,30.4,120,193,S&T (Points/Crossing),59.21
28.9,2,47.1,354,92,Signal,39.82
0.7,3,61.4,522,185,Track (Rail/Ballast),33.78
26.2,2,73.0,468,24,OHE (Overhead Equipment),25.07
20.2,1,29.5,414,131,OHE (Overhead Equipment),46.3
9.8,1,15.4,305,45,S&T (Points/Crossing),36.34
19.8,2,14.2,584,40,Track (Rail/Ballast),51.07
19.0,3,13.8,91,154,S&T (Points/Crossing),52.76
37.5,5,49.1,476,81,OHE (Overhead Equipment),54.66
10.9,3,12.5,294,129,Signal,56.06
32.9,7,72.0,591,196,OHE (Overhead Equipment),54.1
22.2,1,17.0,555,96,Track (Rail/Ballast),59.24
1.5,0,24.8,48,98,Track (Rail/Ballast),34.4
7.4,2,13.1,517,218,OHE (Overhead Equipment),60.82
7.2,2,52.2,699,145,OHE (Overhead Equipment),49.77
12.0,2,45.1,640,132,S&T (Points/Crossing),54.31
17.1,2,34.7,636,134,Signal,61.41
7.1,3,47.3,603,145,Signal,42.88
17.7,3,76.0,444,21,Signal,32.66
4.5,1,69.6,628,73,Signal,38.51
31.4,3,28.4,683,36,OHE (Overhead Equipment),51.25
12.1,0,55.8,229,164,OHE (Overhead Equipment),29.08
32.1,2,45.9,308,183,S&T (Points/Crossing),57.39
26.1,1,61.1,296,111,OHE (Overhead Equipment),32.57
26.2,2,85.0,151,134,S&T (Points/Crossing),27.82
10.1,1,25.7,492,123,S&T (Points/Crossing),49.55
13.1,0,51.0,47,18,S&T (Points/Crossing),25.11
38.8,5,62.2,143,80,S&T (Points/Crossing),42.84
4.2,1,67.1,57,202,S&T (Points/Crossing),16.1
33.9,0,88.5,348,115,OHE (Overhead Equipment),36.42
7.8,1,66.7,293,139,Track (Rail/Ballast),28.26
32.6,2,45.4,503,147,S&T (Points/Crossing),54.48
15.7,6,86.7,621,217,S&T (Points/Crossing),40.07
13.3,1,56.2,436,81,OHE (Overhead Equipment),35.79
37.4,2,51.6,515,63,Track (Rail/Ballast),47.19
12.3,3,67.6,313,137,OHE (Overhead Equipment),38.32
30.4,2,29.7,156,164,Signal,60.15
39.6,3,73.5,436,193,S&T (Points/Crossing),55.31
9.1,1,60.8,570,168,Track (Rail/Ballast),40.98
9.4,1,31.5,117,50,S&T (Points/Crossing),26.07
30.7,1,35.8,139,140,Track (Rail/Ballast),52.49
9.3,2,90.8,656,57,Signal,25.73
14.4,4,49.3,509,18,OHE (Overhead Equipment),56.36
15.5,3,89.7,688,118,OHE (Overhead Equipment),30.28
37.1,0,11.4,401,102,Signal,54.24
33.8,4,99.2,323,16,Signal,33.19
30.3,1,12.7,657,96,OHE (Overhead Equipment),61.8
8.4,1,23.3,613,58,Track (Rail/Ballast),41.31
33.3,2,13.7,35,178,Track (Rail/Ballast),63.33
7.1,4,84.9,547,192,OHE (Overhead Equipment),35.24
25.2,1,90.3,405,57,OHE (Overhead Equipment),35.46
13.2,3,71.9,293,46,Track (Rail/Ballast),31.01
31.6,2,52.8,278,170,Track (Rail/Ballast),50.77
15.6,4,14.4,587,153,S&T (Points/Crossing),74.12
9.4,2,22.4,32,106,Track (Rail/Ballast),34.93
29.3,1,98.0,723,129,Signal,41.71
25.7,1,31.3,107,148,S&T (Points/Crossing),45.1
39.1,4,57.8,454,76,Signal,43.33
36.4,3,81.8,387,77,Signal,38.96
26.3,2,59.9,235,62,Track (Rail/Ballast),37.26
18.6,4,93.4,506,158,Signal,36.85
30.2,1,66.8,277,90,Signal,36.84
22.7,4,30.4,300,87,Signal,43.2
6.3,1,71.5,147,193,Track (Rail/Ballast),22.63
16.1,2,41.0,596,219,Signal,46.52
24.9,4,84.7,513,194,Signal,42.22
28.4,1,29.6,155,218,Track (Rail/Ballast),51.99
26.3,4,50.2,612,32,Track (Rail/Ballast),50.44
39.4,2,31.3,653,86,Track (Rail/Ballast),69.97
35.0,1,41.3,362,138,S&T (Points/Crossing),60.4
24.8,4,84.8,223,167,S&T (Points/Crossing),32.91
20.4,4,63.7,47,64,Signal,17.0
28.1,5,51.7,512,111,Signal,51.84
16.5,3,47.1,237,115,Signal,40.27
37.4,5,68.3,411,49,Signal,43.58
20.2,2,43.7,603,202,Signal,58.47
32.0,3,67.8,77,211,OHE (Overhead Equipment),23.32
35.0,3,10.7,429,26,S&T (Points/Crossing),66.08
1.8,2,26.6,61,48,Track (Rail/Ballast),27.17
5.6,0,21.7,582,163,S&T (Points/Crossing),56.85
15.4,5,49.1,636,216,Signal,59.44
32.1,2,64.7,440,51,Track (Rail/Ballast),41.84
20.8,2,78.3,691,32,S&T (Points/Crossing),48.95
7.0,2,57.8,87,91,Track (Rail/Ballast),26.28
34.9,1,86.7,601,61,Track (Rail/Ballast),25.05
1.0,1,42.8,363,74,S&T (Points/Crossing),32.76
3.7,3,61.7,556,182,S&T (Points/Crossing),41.86
2.7,2,49.3,196,35,OHE (Overhead Equipment),23.12
7.5,0,61.4,685,214,OHE (Overhead Equipment),40.59
24.3,0,92.0,159,105,Signal,20.74
29.3,4,94.3,554,151,S&T (Points/Crossing),42.44
19.5,1,42.6,612,134,Signal,54.4
36.8,4,27.3,718,90,Signal,66.37
35.1,1,52.5,83,184,Track (Rail/Ballast),45.76
34.9,2,98.9,142,71,S&T (Points/Crossing),25.15
25.5,3,51.2,480,140,Signal,44.3
28.9,2,25.2,296,85,OHE (Overhead Equipment),49.29
5.0,1,34.8,46,119,Track (Rail/Ballast),29.91
27.3,1,92.7,661,60,OHE (Overhead Equipment),41.22
6.1,2,21.9,116,216,S&T (Points/Crossing),40.12
7.6,4,70.5,234,153,OHE (Overhead Equipment),31.41
1.8,3,52.2,503,50,OHE (Overhead Equipment),37.83
28.8,1,66.7,207,159,Signal,39.43
17.7,1,66.9,485,176,Signal,35.59
10.4,2,83.9,253,48,Signal,21.05
21.4,1,57.4,675,169,Track (Rail/Ballast),58.17
16.2,1,15.8,640,150,Signal,62.01
20.2,2,39.9,497,111,Signal,46.58
34.7,3,45.7,248,22,S&T (Points/Crossing),47.52
23.1,3,98.2,7,45,S&T (Points/Crossing),18.81
18.0,4,20.9,284,74,Signal,51.91
3.1,3,29.9,674,185,Track (Rail/Ballast),57.67
24.2,1,20.3,412,188,Track (Rail/Ballast),60.37
12.1,1,79.8,681,54,Track (Rail/Ballast),21.89
36.7,4,13.7,147,75,Signal,57.23
7.9,0,50.0,322,124,OHE (Overhead Equipment),38.18
39.1,4,48.4,130,63,OHE (Overhead Equipment),37.22
0.6,0,40.6,414,188,OHE (Overhead Equipment),43.87
39.9,2,66.6,598,36,Signal,51.64
33.8,1,40.4,709,207,S&T (Points/Crossing),53.71
32.8,6,47.2,141,65,Signal,51.47
36.1,1,60.7,465,17,S&T (Points/Crossing),45.77
39.7,1,99.9,499,172,OHE (Overhead Equipment),34.97
32.4,5,51.6,123,129,Signal,30.86
28.6,2,36.4,303,104,OHE (Overhead Equipment),50.24
38.7,1,94.9,194,89,Track (Rail/Ballast),25.4
35.9,3,75.1,383,143,OHE (Overhead Equipment),36.23
34.1,2,30.1,460,177,OHE (Overhead Equipment),58.23
1.7,0,75.4,108,82,S&T (Points/Crossing),8.94
24.7,2,39.9,638,173,S&T (Points/Crossing),54.08
5.7,1,40.0,602,19,Signal,41.53
22.7,2,73.1,267,170,Track (Rail/Ballast),32.54
38.4,6,56.2,276,50,Track (Rail/Ballast),61.03
3.2,2,68.1,176,200,Signal,21.12
3.8,1,38.4,53,103,OHE (Overhead Equipment),33.68
1.3,1,89.9,560,31,S&T (Points/Crossing),15.22
13.0,3,82.5,165,122,OHE (Overhead Equipment),30.53
28.6,2,65.2,536,127,OHE (Overhead Equipment),36.83
11.4,4,99.8,282,132,OHE (Overhead Equipment),26.79
34.4,2,18.1,472,119,Track (Rail/Ballast),66.76
19.8,3,16.9,112,164,OHE (Overhead Equipment),49.17
40.0,1,64.8,445,35,S&T (Points/Crossing),44.39
37.1,7,19.0,357,40,Track (Rail/Ballast),61.97
32.3,2,73.1,43,151,Track (Rail/Ballast),34.07
8.4,0,37.7,10,194,Signal,48.16
22.2,3,53.4,459,175,Signal,54.8
0.9,1,92.9,625,68,OHE (Overhead Equipment),22.48
22.7,5,53.3,700,139,S&T (Points/Crossing),53.42
14.4,1,43.4,583,68,S&T (Points/Crossing),41.3
14.6,1,79.2,72,140,OHE (Overhead Equipment),16.98
13.4,1,27.9,552,19,Signal,50.26
8.6,1,43.5,90,154,Track (Rail/Ballast),25.32
3.8,6,53.7,633,112,S&T (Points/Crossing),50.27
1.3,1,57.2,333,28,Track (Rail/Ballast),27.34
17.1,1,33.5,397,38,S&T (Points/Crossing),45.84
35.5,4,28.6,710,198,S&T (Points/Crossing),63.87
13.6,2,54.7,533,49,Track (Rail/Ballast),31.63
1.2,0,80.6,242,79,OHE (Overhead Equipment),24.3
21.8,1,67.1,527,164,Track (Rail/Ballast),42.75
35.1,0,46.6,433,151,S&T (Points/Crossing),49.32
9.4,2,98.3,82,151,Track (Rail/Ballast),22.35
20.6,5,14.2,173,198,S&T (Points/Crossing),61.4
19.4,2,10.7,380,29,Signal,63.77
28.3,2,24.2,712,77,OHE (Overhead Equipment),63.22
34.0,4,30.3,533,76,OHE (Overhead Equipment),67.82
10.7,3,74.4,689,83,OHE (Overhead Equipment),43.56
20.4,3,36.9,620,213,OHE (Overhead Equipment),69.82
31.1,1,94.3,71,57,Track (Rail/Ballast),19.68
32.8,4,12.8,234,121,S&T (Points/Crossing),59.27
19.4,2,21.1,596,141,Signal,57.25
20.9,2,37.5,653,182,Track (Rail/Ballast),63.85
15.5,2,63.7,527,73,Signal,43.01
9.5,6,84.7,441,71,OHE (Overhead Equipment),34.83
26.4,2,47.6,37,160,S&T (Points/Crossing),32.74
22.8,3,89.2,567,181,S&T (Points/Crossing),37.01
12.6,6,30.6,419,131,Track (Rail/Ballast),60.69
9.8,4,95.8,443,192,Track (Rail/Ballast),26.39
33.2,2,55.3,348,211,Signal,55.41
36.1,2,13.7,656,39,S&T (Points/Crossing),66.5
30.8,2,44.1,591,166,Signal,58.15
30.2,3,36.5,702,192,S&T (Points/Crossing),63.98
39.2,5,40.0,146,16,S&T (Points/Crossing),41.62
19.5,2,15.0,374,60,Track (Rail/Ballast),53.19
17.9,3,31.9,438,18,OHE (Overhead Equipment),37.69
4.8,2,72.0,23,131,Track (Rail/Ballast),17.16
39.5,0,53.6,53,38,Track (Rail/Ballast),31.92
1.9,1,67.3,287,94,S&T (Points/Crossing),17.55
17.0,4,86.3,568,23,OHE (Overhead Equipment),26.13
3.6,0,30.0,699,172,Signal,62.35
17.4,1,62.5,11,36,S&T (Points/Crossing),25.21
29.7,2,55.5,143,147,Track (Rail/Ballast),41.42
8.3,2,46.7,306,145,Track (Rail/Ballast),28.03
26.3,1,69.1,237,111,S&T (Points/Crossing),28.07
2.7,2,41.6,443,92,OHE (Overhead Equipment),31.61
17.2,2,64.4,22,33,OHE (Overhead Equipment),21.91
13.4,2,66.4,382,39,Track (Rail/Ballast),22.84
23.5,1,71.2,586,16,S&T (Points/Crossing),37.68
15.3,0,83.3,198,159,S&T (Points/Crossing),18.42
38.6,2,42.2,372,219,Signal,45.89
26.8,0,21.7,399,67,S&T (Points/Crossing),55.94
35.5,4,98.5,297,126,OHE (Overhead Equipment),28.51
5.3,2,50.2,551,194,OHE (Overhead Equipment),34.2
23.3,4,76.9,265,45,Signal,39.03
30.0,3,44.9,655,21,S&T (Points/Crossing),48.84
21.2,3,68.5,517,167,OHE (Overhead Equipment),45.56
16.4,3,88.5,446,32,OHE (Overhead Equipment),20.46
39.1,3,71.1,93,90,OHE (Overhead Equipment),45.01
32.2,5,52.2,569,137,S&T (Points/Crossing),64.21
26.0,5,58.1,610,156,Signal,60.77
16.8,3,97.9,594,85,Signal,28.18
33.2,2,91.1,199,148,Signal,29.76
14.1,2,30.4,26,37,OHE (Overhead Equipment),33.0
5.4,2,99.9,543,22,S&T (Points/Crossing),10.49
9.8,2,95.8,244,27,Signal,14.07
39.7,1,76.6,272,39,Track (Rail/Ballast),33.67
7.9,5,56.1,324,21,Track (Rail/Ballast),38.88
20.0,1,84.5,560,59,OHE (Overhead Equipment),36.57
23.5,1,29.6,512,204,Track (Rail/Ballast),62.44
7.1,1,93.8,653,205,OHE (Overhead Equipment),34.05
26.3,3,69.0,395,151,OHE (Overhead Equipment),45.06
27.0,4,61.7,672,200,Track (Rail/Ballast),61.15
35.2,1,24.6,150,33,Track (Rail/Ballast),42.11
23.9,2,61.7,568,131,OHE (Overhead Equipment),46.92
38.5,0,27.6,105,60,S&T (Points/Crossing),44.51
10.0,3,28.5,535,184,OHE (Overhead Equipment),55.41
6.5,1,64.7,276,21,S&T (Points/Crossing),17.43
18.2,4,84.0,410,186,Signal,51.83
37.7,5,34.3,358,165,S&T (Points/Crossing),74.67
24.8,4,18.9,168,85,Signal,57.21
20.2,8,33.3,139,153,Track (Rail/Ballast),51.7
39.2,2,22.6,381,56,OHE (Overhead Equipment),50.99
34.7,4,15.5,658,39,S&T (Points/Crossing),57.92
36.3,0,43.1,104,23,S&T (Points/Crossing),30.59
31.1,1,85.3,686,120,OHE (Overhead Equipment),32.41
14.6,1,27.6,233,91,OHE (Overhead Equipment),49.49
35.8,2,65.1,15,211,Track (Rail/Ballast),31.71
34.3,4,72.2,367,60,Signal,38.25
14.6,1,40.7,54,71,S&T (Points/Crossing),31.78
9.3,4,34.7,327,177,Track (Rail/Ballast),48.52
21.4,2,70.4,85,123,OHE (Overhead Equipment),28.88
22.7,3,32.9,201,32,OHE (Overhead Equipment),48.01
10.4,3,99.2,544,73,Track (Rail/Ballast),23.67
10.1,7,26.7,711,46,S&T (Points/Crossing),61.04
11.6,2,16.7,267,69,S&T (Points/Crossing),48.42
33.6,4,41.2,118,147,S&T (Points/Crossing),51.27
5.2,1,58.0,122,145,S&T (Points/Crossing),37.29
17.7,2,46.7,154,49,Track (Rail/Ballast),24.6
5.3,2,57.8,498,141,S&T (Points/Crossing),40.95
31.8,5,43.0,307,79,Signal,50.91
19.4,1,23.9,229,157,Track (Rail/Ballast),49.18
12.8,3,47.1,119,151,Signal,41.8
3.0,3,62.0,102,193,OHE (Overhead Equipment),41.25
38.1,6,67.2,450,99,OHE (Overhead Equipment),49.14
36.0,1,50.6,553,119,Signal,43.63
23.3,2,34.6,129,185,Track (Rail/Ballast),39.81
1.6,1,75.4,337,62,S&T (Points/Crossing),29.33
25.2,1,31.5,415,44,Signal,52.42
20.9,2,36.7,645,107,S&T (Points/Crossing),45.94
23.3,3,37.4,160,204,S&T (Points/Crossing),43.66
20.7,1,21.7,447,178,Signal,55.53
18.9,1,65.6,475,192,OHE (Overhead Equipment),31.55
23.1,3,67.3,610,131,Track (Rail/Ballast),41.65
2.8,2,43.8,7,66,OHE (Overhead Equipment),31.67
31.9,2,38.7,493,155,Track (Rail/Ballast),51.23
21.9,1,25.9,124,133,S&T (Points/Crossing),58.57
18.8,3,41.7,240,165,Track (Rail/Ballast),36.9
25.7,0,11.7,703,48,Track (Rail/Ballast),58.47
9.5,3,13.8,278,217,Signal,52.5
39.0,3,44.9,176,105,Track (Rail/Ballast),53.04
14.5,0,94.2,305,25,OHE (Overhead Equipment),9.71
9.0,2,46.6,444,39,OHE (Overhead Equipment),34.28
39.5,2,69.4,288,90,Signal,48.62
25.9,0,78.7,391,198,OHE (Overhead Equipment),32.28
20.8,4,90.2,542,41,S&T (Points/Crossing),28.8
15.6,2,55.4,718,156,S&T (Points/Crossing),55.83
20.0,1,69.5,286,119,Signal,36.75
39.1,3,37.9,711,101,Track (Rail/Ballast),60.93
34.4,2,46.8,693,51,Signal,56.56
31.5,3,66.3,71,17,Signal,28.94
16.0,1,54.9,410,44,S&T (Points/Crossing),38.85
18.0,0,54.5,364,91,S&T (Points/Crossing),30.14
20.8,4,28.6,621,59,S&T (Points/Crossing),62.72
39.8,0,13.0,649,46,S&T (Points/Crossing),69.54
31.7,1,46.7,56,167,S&T (Points/Crossing),42.26
33.5,3,72.0,261,136,Track (Rail/Ballast),42.1
35.8,0,84.2,652,210,Signal,43.24
17.1,1,70.5,718,120,S&T (Points/Crossing),39.31
27.2,2,30.1,98,150,OHE (Overhead Equipment),42.85
36.4,4,99.1,355,75,Signal,30.43
34.6,2,23.2,581,207,Track (Rail/Ballast),63.74
22.9,3,60.9,49,79,Signal,33.97
34.2,2,43.6,452,210,S&T (Points/Crossing),45.84
13.9,0,29.4,182,143,OHE (Overhead Equipment),52.91
26.4,0,93.3,671,163,Signal,29.58
33.6,3,40.1,27,130,Signal,41.35
17.0,3,66.2,631,46,Signal,41.35
35.0,1,98.8,187,205,S&T (Points/Crossing),42.89
23.7,0,73.8,449,113,Signal,31.54
26.9,3,26.3,618,43,Track (Rail/Ballast),53.84
12.9,3,93.4,257,71,Track (Rail/Ballast),26.86
8.1,4,47.4,480,197,S&T (Points/Crossing),50.88
25.0,3,51.0,667,211,Track (Rail/Ballast),59.56
38.8,4,17.2,329,111,OHE (Overhead Equipment),70.05
7.7,1,81.0,637,40,OHE (Overhead Equipment),32.51
6.1,0,83.2,511,217,OHE (Overhead Equipment),28.94
39.4,1,79.3,481,117,Signal,37.01
14.4,2,96.1,588,53,S&T (Points/Crossing),27.79
36.7,2,15.5,484,26,Signal,53.53
9.7,2,96.4,505,216,OHE (Overhead Equipment),31.1
6.8,1,19.1,48,78,S&T (Points/Crossing),39.6
36.1,1,18.0,155,74,Signal,50.69
14.1,2,87.3,322,185,OHE (Overhead Equipment),20.98
29.8,1,23.3,384,181,Signal,55.85
33.9,2,63.3,106,211,Track (Rail/Ballast),37.83
3.6,2,89.8,52,108,S&T (Points/Crossing),6.43
1.4,0,66.5,74,197,Track (Rail/Ballast),30.36
12.2,6,91.4,210,171,Signal,30.67
17.7,3,20.5,202,34,Track (Rail/Ballast),51.28
2.5,3,40.0,343,33,OHE (Overhead Equipment),36.22
39.6,6,56.8,217,41,OHE (Overhead Equipment),47.18
25.1,3,64.0,532,194,Track (Rail/Ballast),55.85
32.0,6,39.9,11,192,Signal,40.7
16.2,2,62.0,571,29,OHE (Overhead Equipment),30.79
3.3,1,60.4,238,190,Signal,24.45
12.8,3,37.3,697,87,Track (Rail/Ballast),56.35
3.6,5,61.5,616,159,Track (Rail/Ballast),38.34
23.6,2,14.1,235,70,Signal,67.37
14.0,2,90.1,334,50,Signal,20.47
35.5,1,86.3,715,84,S&T (Points/Crossing),46.35
38.6,4,24.3,234,211,OHE (Overhead Equipment),52.87
36.3,2,68.9,473,16,Signal,47.35
29.8,1,56.9,102,195,Track (Rail/Ballast),39.46
9.7,2,66.6,411,201,Track (Rail/Ballast),34.88
5.6,3,81.6,136,26,OHE (Overhead Equipment),17.76
0.7,2,77.7,680,123,S&T (Points/Crossing),31.08
38.4,3,15.3,219,162,Signal,56.82
24.4,3,41.3,37,147,S&T (Points/Crossing),38.68
14.4,4,79.8,687,92,OHE (Overhead Equipment),38.94
15.6,7,53.0,617,168,S&T (Points/Crossing),62.17
2.0,1,84.8,73,116,OHE (Overhead Equipment),25.68
22.5,3,60.0,157,135,S&T (Points/Crossing),32.16
21.9,1,10.7,570,70,Track (Rail/Ballast),56.84
32.2,2,14.1,325,157,S&T (Points/Crossing),66.05
31.4,3,28.5,18,69,Track (Rail/Ballast),37.15
37.4,2,99.3,212,128,OHE (Overhead Equipment),34.41
19.3,1,40.4,553,88,OHE (Overhead Equipment),45.91
6.1,3,16.9,112,55,OHE (Overhead Equipment),40.08
22.1,0,78.6,281,90,Signal,17.27
29.8,2,31.3,441,114,Track (Rail/Ballast),62.42
3.2,3,30.0,17,94,Track (Rail/Ballast),31.33
13.4,2,25.5,524,91,OHE (Overhead Equipment),52.0
27.0,4,58.9,408,184,OHE (Overhead Equipment),44.23
2.6,2,48.5,301,161,S&T (Points/Crossing),39.23
24.4,2,93.5,145,129,Track (Rail/Ballast),19.56
23.3,0,43.7,508,60,Signal,51.76
2.6,2,14.3,526,109,S&T (Points/Crossing),44.95
27.4,0,52.0,680,31,OHE (Overhead Equipment),36.34
18.2,3,97.9,697,22,OHE (Overhead Equipment),38.48
12.1,1,10.9,599,95,Track (Rail/Ballast),62.95
32.7,5,57.4,254,52,Signal,43.87
16.7,2,68.6,99,129,S&T (Points/Crossing),34.37
20.1,2,20.6,440,179,S&T (Points/Crossing),54.91
9.6,2,88.4,726,129,Track (Rail/Ballast),41.23
32.4,2,13.3,166,34,Signal,43.44
5.5,1,39.2,442,209,S&T (Points/Crossing),47.4
19.5,3,89.7,103,36,S&T (Points/Crossing),13.4
33.5,2,32.8,79,49,Track (Rail/Ballast),39.86
14.5,2,85.5,178,116,Track (Rail/Ballast),16.21
7.9,2,52.8,138,75,OHE (Overhead Equipment),25.99
6.3,3,34.0,718,107,Signal,52.02
37.2,6,98.6,492,212,Track (Rail/Ballast),51.95
28.6,2,31.6,567,29,OHE (Overhead Equipment),45.49
29.9,2,83.0,219,93,Signal,33.71
27.4,2,87.3,526,209,Signal,49.79
34.9,1,85.1,703,123,Track (Rail/Ballast),48.08
28.3,2,69.8,290,204,OHE (Overhead Equipment),43.67
32.9,1,46.7,24,78,S&T (Points/Crossing),36.2
27.6,1,61.6,549,49,OHE (Overhead Equipment),48.63
2.6,2,86.4,231,202,Signal,28.6
16.9,1,98.3,477,87,OHE (Overhead Equipment),22.88
22.8,1,64.9,559,199,Track (Rail/Ballast),49.14
6.4,2,17.1,404,126,Track (Rail/Ballast),45.47
29.8,1,46.5,106,70,S&T (Points/Crossing),34.19
16.5,1,19.3,506,192,OHE (Overhead Equipment),54.36
32.7,5,99.0,703,143,Track (Rail/Ballast),48.45
3.7,3,47.9,703,63,Signal,42.96
2.0,3,90.2,139,192,Signal,22.47
16.8,1,74.2,641,215,S&T (Points/Crossing),45.94
35.6,1,94.5,65,136,OHE (Overhead Equipment),9.94
14.0,0,70.8,122,179,Track (Rail/Ballast),23.23
25.6,1,78.8,646,153,S&T (Points/Crossing),44.9
21.1,3,15.7,115,113,Track (Rail/Ballast),49.49
15.2,1,32.4,120,118,S&T (Points/Crossing),41.22
3.9,4,80.4,618,19,OHE (Overhead Equipment),35.96
24.4,1,99.3,194,81,Track (Rail/Ballast),27.41
31.1,2,69.7,403,56,S&T (Points/Crossing),29.68
16.6,3,55.2,199,62,Track (Rail/Ballast),41.29
33.5,6,35.9,244,16,Track (Rail/Ballast),51.19
21.9,2,25.1,658,95,S&T (Points/Crossing),63.47
16.9,2,74.0,715,207,S&T (Points/Crossing),45.05
27.6,0,86.2,260,197,Signal,27.05
18.1,2,21.4,414,119,Track (Rail/Ballast),55.16
16.5,4,81.8,558,33,Signal,34.05
11.5,2,84.9,239,199,Signal,20.17
14.4,0,69.4,187,55,OHE (Overhead Equipment),25.9
19.4,7,40.5,360,145,Track (Rail/Ballast),51.67
39.5,0,52.0,145,168,Track (Rail/Ballast),38.43
16.4,2,87.9,559,219,Track (Rail/Ballast),37.98
2.4,1,79.2,443,141,Track (Rail/Ballast),31.54
27.5,0,34.0,217,75,Track (Rail/Ballast),38.63
12.7,4,44.1,165,85,S&T (Points/Crossing),39.54
38.7,0,40.3,22,175,Track (Rail/Ballast),42.37
9.4,4,84.0,704,212,S&T (Points/Crossing),52.73
20.7,3,29.8,33,29,Track (Rail/Ballast),38.61
9.9,1,16.9,369,219,OHE (Overhead Equipment),62.19
26.0,3,14.7,136,30,Track (Rail/Ballast),34.02
2.9,1,39.2,322,147,S&T (Points/Crossing),51.95
19.0,4,61.4,9,71,Signal,17.22
0.6,4,42.9,62,153,Signal,33.53
13.5,1,14.1,380,194,Track (Rail/Ballast),54.83
